Year, Keyword, Frequency
year2016, software, 135
year2016, product, 51
year2016, code, 50
year2016, agile, 46
year2016, development, 46
year2016, systems, 45
year2016, design, 40
year2016, talk, 37
year2016, lean, 37
year2016, applications, 36
year2016, build, 36
year2016, technical, 35
year2016, teams, 34
year2016, building, 33
year2016, technology, 33
year2016, learn, 32
year2016, security, 31
year2016, team, 31
year2016, new, 29
year2016, engineering, 29
year2016, web, 29
year2016, microservices, 29
year2016, open, 28
year2016, programming, 27
year2016, better, 27
year2016, organizations, 27
year2016, developers, 26
year2016, data, 26
year2016, people, 25
year2016, developer, 25
year2016, work, 24
year2016, help, 24
year2016, java, 24
year2016, go, 24
year2016, operations, 23
year2016, infrastructure, 23
year2016, docker, 23
year2016, architecture, 23
year2016, time, 22
year2016, through, 22
year2016, tools, 22
year2016, understand, 22
year2016, principles, 21
year2016, good, 21
year2016, helping, 21
year2016, book, 21
year2016, techniques, 20
year2016, engineer, 20
year2016, experience, 20
year2016, lead, 20
year2016, companies, 19
year2016, distributed, 19
year2016, scale, 19
year2016, manage, 19
year2016, containers, 18
year2016, worked, 18
year2016, practices, 18
year2016, application, 18
year2016, cloud, 18
year2016, career, 18
year2016, things, 17
year2016, before, 17
year2016, business, 17
year2016, large, 17
year2016, services, 17
year2016, best, 16
year2016, language, 16
year2016, first, 16
year2016, up, 16
year2016, system, 16
year2016, computer, 16
year2016, become, 16
year2016, delivery, 16
year2016, improve, 15
year2016, performance, 15
year2016, workshop, 15
year2016, leading, 15
year2016, both, 15
year2016, products, 15
year2016, use, 15
year2016, patterns, 15
year2016, service, 14
year2016, environment, 14
year2016, now, 14
year2016, come, 14
year2016, writing, 14
year2016, different, 14
year2016, world, 14
year2016, small, 14
year2016, currently, 14
year2016, various, 14
year2016, create, 14
year2016, works, 14
year2016, find, 14
year2016, great, 14
year2016, including, 14
year2016, management, 14
year2016, each, 13
year2016, several, 13
year2016, change, 13
year2015, software, 162
year2015, systems, 64
year2015, agile, 56
year2015, development, 53
year2015, code, 43
year2015, architecture, 37
year2015, data, 35
year2015, technology, 35
year2015, web, 35
year2015, new, 34
year2015, design, 34
year2015, distributed, 34
year2015, developers, 30
year2015, teams, 30
year2015, team, 28
year2015, learn, 28
year2015, business, 28
year2015, build, 27
year2015, work, 26
year2015, building, 26
year2015, application, 26
year2015, product, 26
year2015, talk, 24
year2015, programming, 24
year2015, developer, 23
year2015, engineering, 23
year2015, security, 22
year2015, time, 22
year2015, continuous, 22
year2015, helping, 22
year2015, tools, 21
year2015, even, 20
year2015, experience, 20
year2015, through, 20
year2015, technical, 20
year2015, use, 20
year2015, lean, 20
year2015, company, 19
year2015, cloud, 19
year2015, works, 19
year2015, delivery, 19
year2015, writing, 18
year2015, change, 18
year2015, java, 18
year2015, services, 18
year2015, infrastructure, 17
year2015, coding, 17
year2015, system, 17
year2015, open, 16
year2015, help, 16
year2015, testing, 16
year2015, including, 16
year2015, it's, 16
year2015, tests, 16
year2015, end, 15
year2015, engineer, 15
year2015, worked, 15
year2015, applications, 15
year2015, architect, 15
year2015, best, 14
year2015, things, 14
year2015, several, 14
year2015, now, 14
year2015, between, 14
year2015, go, 14
year2015, devops, 14
year2015, dan, 14
year2015, management, 14
year2015, well, 14
year2015, principles, 13
year2015, practices, 13
year2015, international, 13
year2015, better, 13
year2015, large, 13
year2015, small, 13
year2015, currently, 13
year2015, up, 13
year2015, michael, 13
year2015, great, 13
year2015, peter, 13
year2015, want, 12
year2015, operations, 12
year2015, discuss, 12
year2015, think, 12
year2015, craftsmanship, 12
year2015, different, 12
year2015, around, 12
year2015, technologies, 12
year2015, prior, 12
year2015, create, 12
year2015, big, 12
year2015, scale, 12
year2015, scalable, 12
year2015, various, 12
year2015, speaker, 12
year2015, organizations, 11
year2015, techniques, 11
year2015, consultant, 11
year2015, driven, 11
year2015, world, 11
year2014, software, 95
year2014, agile, 56
year2014, development, 44
year2014, download, 41
year2014, new, 40
year2014, code, 39
year2014, systems, 38
year2014, web, 33
year2014, data, 30
year2014, talk, 29
year2014, continuous, 27
year2014, tools, 27
year2014, distributed, 25
year2014, delivery, 25
year2014, programming, 23
year2014, teams, 22
year2014, projects, 22
year2014, open, 21
year2014, building, 21
year2014, time, 20
year2014, people, 19
year2014, up, 19
year2014, design, 18
year2014, team, 18
year2014, experience, 18
year2014, developer, 18
year2014, operations, 17
year2014, developers, 17
year2014, consultant, 17
year2014, business, 17
year2014, even, 16
year2014, worked, 16
year2014, engineering, 16
year2014, works, 16
year2014, functional, 16
year2014, architecture, 15
year2014, techniques, 15
year2014, infrastructure, 15
year2014, large, 15
year2014, learn, 15
year2014, build, 15
year2014, impact, 15
year2014, technical, 15
year2014, system, 15
year2014, better, 14
year2014, best, 14
year2014, test, 14
year2014, change, 14
year2014, still, 14
year2014, technology, 14
year2014, research, 14
year2014, mobile, 14
year2014, well, 14
year2014, before, 13
year2014, solutions, 13
year2014, testing, 13
year2014, different, 13
year2014, help, 13
year2014, domain, 13
year2014, devops, 13
year2014, patterns, 13
year2014, work, 12
year2014, improve, 12
year2014, things, 12
year2014, independent, 12
year2014, show, 12
year2014, company, 12
year2014, hard, 12
year2014, michael, 12
year2014, quality, 12
year2014, it's, 12
year2014, book, 12
year2014, right, 11
year2014, language, 11
year2014, craftsmanship, 11
year2014, currently, 11
year2014, understand, 11
year2014, look, 11
year2014, big, 11
year2014, examples, 11
year2014, integration, 11
year2014, use, 11
year2014, including, 11
year2014, tests, 11
year2014, principles, 10
year2014, complex, 10
year2014, focus, 10
year2014, cap, 10
year2014, discuss, 10
year2014, without, 10
year2014, thinking, 10
year2014, around, 10
year2014, two, 10
year2014, through, 10
year2014, world, 10
year2014, application, 10
year2014, common, 10
year2014, member, 10
year2014, speaker, 10
year2014, changes, 9
